Date, Time, Open, High, Low, Last, Volume
2026-6-16, 00:13:00.000000, 7623.25, 7624.75, 7623.25, 7624.50, 81
2026-6-16, 00:14:00.000000, 7624.50, 7624.50, 7622.75, 7623.00, 71
2026-6-16, 00:15:00.000000, 7623.00, 7623.75, 7622.75, 7623.50, 70
2026-6-16, 00:16:00.000000, 7623.50, 7624.50, 7623.25, 7624.50, 50
2026-6-16, 00:17:00.000000, 7624.25, 7624.25, 7624.00, 7624.25, 30
2026-6-16, 00:18:00.000000, 7624.50, 7625.25, 7624.25, 7625.25, 113
2026-6-16, 00:19:00.000000, 7625.00, 7625.00, 7624.75, 7624.75, 29
2026-6-16, 00:20:00.000000, 7624.50, 7624.75, 7623.00, 7623.00, 101
2026-6-16, 00:21:00.000000, 7623.00, 7623.75, 7622.75, 7622.75, 81
2026-6-16, 00:22:00.000000, 7622.75, 7623.25, 7622.50, 7623.00, 76
2026-6-16, 00:23:00.000000, 7623.00, 7623.00, 7622.50, 7622.50, 144
2026-6-16, 00:24:00.000000, 7622.75, 7623.25, 7622.75, 7622.75, 46
2026-6-16, 00:25:00.000000, 7622.50, 7623.00, 7621.75, 7622.25, 85
2026-6-16, 00:26:00.000000, 7622.50, 7622.75, 7621.50, 7622.25, 95
2026-6-16, 00:27:00.000000, 7622.50, 7622.75, 7621.75, 7621.75, 51
2026-6-16, 00:28:00.000000, 7622.00, 7622.25, 7621.50, 7621.75, 105
2026-6-16, 00:29:00.000000, 7621.75, 7622.00, 7621.50, 7621.75, 99
2026-6-16, 00:30:00.000000, 7621.75, 7622.50, 7621.50, 7621.75, 75
2026-6-16, 00:31:00.000000, 7621.75, 7622.00, 7621.25, 7621.50, 136
2026-6-16, 00:32:00.000000, 7621.50, 7621.50, 7620.00, 7620.50, 115
2026-6-16, 00:33:00.000000, 7620.50, 7620.50, 7618.00, 7618.50, 308
2026-6-16, 00:34:00.000000, 7618.75, 7619.25, 7616.25, 7616.25, 130
2026-6-16, 00:35:00.000000, 7616.25, 7618.50, 7616.00, 7618.25, 211
2026-6-16, 00:36:00.000000, 7618.25, 7619.50, 7618.25, 7618.50, 130
2026-6-16, 00:37:00.000000, 7618.50, 7618.50, 7617.00, 7617.25, 134
2026-6-16, 00:38:00.000000, 7617.25, 7618.25, 7617.00, 7618.25, 151
2026-6-16, 00:39:00.000000, 7618.25, 7618.50, 7617.50, 7617.75, 68
2026-6-16, 00:40:00.000000, 7617.75, 7618.50, 7617.50, 7618.25, 56
2026-6-16, 00:41:00.000000, 7618.00, 7618.75, 7618.00, 7618.50, 71
2026-6-16, 00:42:00.000000, 7618.50, 7618.75, 7618.00, 7618.75, 49
2026-6-16, 00:43:00.000000, 7618.50, 7618.75, 7617.00, 7617.50, 79
2026-6-16, 00:44:00.000000, 7617.50, 7618.00, 7617.00, 7617.75, 41
2026-6-16, 00:45:00.000000, 7617.75, 7619.75, 7617.75, 7619.00, 146
2026-6-16, 00:46:00.000000, 7619.25, 7620.00, 7618.75, 7620.00, 48
2026-6-16, 00:47:00.000000, 7619.75, 7620.00, 7619.25, 7619.50, 96
2026-6-16, 00:48:00.000000, 7619.50, 7619.75, 7618.25, 7619.50, 100
2026-6-16, 00:49:00.000000, 7619.75, 7619.75, 7618.25, 7618.25, 108
2026-6-16, 00:50:00.000000, 7618.25, 7619.50, 7618.25, 7618.75, 69
2026-6-16, 00:51:00.000000, 7618.75, 7619.75, 7618.75, 7619.25, 37
2026-6-16, 00:52:00.000000, 7619.50, 7620.00, 7619.25, 7620.00, 53
2026-6-16, 00:53:00.000000, 7620.00, 7620.50, 7619.50, 7619.50, 53
2026-6-16, 00:54:00.000000, 7619.25, 7619.25, 7618.00, 7619.00, 125
2026-6-16, 00:55:00.000000, 7619.00, 7619.25, 7618.50, 7619.00, 160
2026-6-16, 00:56:00.000000, 7618.50, 7619.00, 7618.25, 7618.25, 24
2026-6-16, 00:57:00.000000, 7618.50, 7618.75, 7618.25, 7618.25, 46
2026-6-16, 00:58:00.000000, 7618.25, 7618.25, 7617.50, 7617.75, 80
2026-6-16, 00:59:00.000000, 7617.75, 7618.25, 7617.50, 7618.25, 111
2026-6-16, 01:00:00.000000, 7618.00, 7618.75, 7617.00, 7617.50, 152
2026-6-16, 01:01:00.000000, 7617.50, 7619.00, 7617.25, 7618.75, 85
2026-6-16, 01:02:00.000000, 7618.50, 7620.50, 7618.50, 7619.75, 246
2026-6-16, 01:03:00.000000, 7620.00, 7621.00, 7620.00, 7621.00, 155
2026-6-16, 01:04:00.000000, 7620.75, 7621.75, 7620.75, 7621.25, 199
2026-6-16, 01:05:00.000000, 7621.25, 7623.00, 7621.25, 7622.50, 155
2026-6-16, 01:06:00.000000, 7622.50, 7622.50, 7622.25, 7622.50, 100
2026-6-16, 01:07:00.000000, 7622.50, 7622.50, 7621.00, 7621.00, 93
2026-6-16, 01:08:00.000000, 7621.50, 7621.75, 7621.25, 7621.50, 44
2026-6-16, 01:09:00.000000, 7621.25, 7622.50, 7621.00, 7622.25, 104
2026-6-16, 01:10:00.000000, 7622.25, 7623.00, 7621.50, 7622.75, 136
2026-6-16, 01:11:00.000000, 7622.50, 7623.75, 7622.25, 7623.50, 126
2026-6-16, 01:12:00.000000, 7623.75, 7624.00, 7622.75, 7623.50, 158
2026-6-16, 01:13:00.000000, 7623.50, 7623.50, 7622.75, 7623.00, 83
2026-6-16, 01:14:00.000000, 7623.00, 7623.25, 7622.75, 7623.00, 59
2026-6-16, 01:15:00.000000, 7623.00, 7623.25, 7622.75, 7622.75, 60
2026-6-16, 01:16:00.000000, 7622.75, 7623.50, 7622.75, 7622.75, 59
2026-6-16, 01:17:00.000000, 7622.75, 7622.75, 7622.25, 7622.25, 51
2026-6-16, 01:18:00.000000, 7622.50, 7622.50, 7621.25, 7621.25, 127
2026-6-16, 01:19:00.000000, 7621.50, 7621.50, 7621.00, 7621.00, 47
2026-6-16, 01:20:00.000000, 7621.00, 7621.25, 7619.75, 7620.50, 128
2026-6-16, 01:21:00.000000, 7620.50, 7621.00, 7620.25, 7620.75, 91
2026-6-16, 01:22:00.000000, 7620.75, 7621.50, 7620.75, 7621.50, 59
2026-6-16, 01:23:00.000000, 7621.25, 7621.25, 7620.25, 7620.25, 106
2026-6-16, 01:24:00.000000, 7620.25, 7621.50, 7620.25, 7621.50, 89
2026-6-16, 01:25:00.000000, 7621.50, 7622.00, 7621.50, 7621.75, 112
2026-6-16, 01:26:00.000000, 7622.00, 7622.50, 7621.75, 7621.75, 137
2026-6-16, 01:27:00.000000, 7622.00, 7622.25, 7621.75, 7622.25, 69
2026-6-16, 01:28:00.000000, 7622.00, 7622.25, 7621.75, 7622.25, 99
